Interval,EMA_alpha,EMA_beta,RSI_alpha,RSI_beta,EMA_posterior,RSI_posterior,EMA_interval_profit,RSI_interval_profit,EMA_cum_profit,RSI_cum_profit,EMA_posterior_return,RSI_posterior_return,EMA_ppd_var,RSI_ppd_var
0,28.63667286171874,38.30357662023509,17.590241557648987,21.970931023333264,0.42779453442937637,0.44463397847072217,-0.09831918130739181,-0.04545703837907102,-0.09831918130739181,-0.04545703837907102,-0.004915959065369591,-0.0045457038379070995,0.00042,0.00044
1,41.561780637802705,56.109680438904014,36.146438584912396,33.40850321775754,0.42552635313975673,0.5196818176839432,-0.0488099604258495,0.07118624832839135,-0.14712914173324132,0.025729209949320327,-0.004746101346233591,0.001286460497466018,0.0004129032258064516,0.00042
2,47.393843867770656,61.98469046763995,54.21981729150528,51.7088554968569,0.43330114227382915,0.5118521346890899,-0.0004294679876799103,-0.0022697357250648035,-0.14755860972092122,0.023459474224255525,-0.00409885027002559,0.0007108931583107742,0.0004111111111111111,0.00041212121212121214
3,49.519546700812384,64.06161769303782,66.05244630757954,66.32116359276844,0.4359837915475147,0.49898500431698134,0.0004877560764386112,-0.027796790798372703,-0.1470708536444826,-0.004337316574117178,-0.0038702856222232267,-0.00010578820912480844,0.0004105263157894737,0.0004097560975609756
4,71.51416941322641,83.50811109117643,75.25795742229359,80.39174772644783,0.46131542627638816,0.4835085125948414,0.04312601183996738,-0.04865073018965345,-0.10394484180451523,-0.05298804676377063,-0.0019989392654714464,-0.0010813887094647061,0.0004076923076923077,0.00040816326530612246
5,81.9027226590717,96.74231497656599,93.94013587456243,92.23500352919218,0.45846626216463693,0.5045793771145576,-0.02845650639544279,0.06838922649524479,-0.13240134819995802,0.01540117973147416,-0.002244090647456916,0.0002566863288579037,0.0004067796610169492,0.00040666666666666667
6,105.31794917400218,119.35593958551162,111.14025460445937,105.11191595444663,0.4687591858381563,0.5139382153585613,0.008016019059848577,0.0432320630464251,-0.12438532914010944,0.05863324277789926,-0.0016584710552014603,0.0008258203208154837,0.00040533333333333334,0.0004056338028169014
7,125.7928628835352,142.28302710321663,127.95854407852222,125.72232528043058,0.4692434776202807,0.5044075432328471,-0.02452173808172009,-0.03792119851921096,-0.14890706722182953,0.0207120442586883,-0.0016731131148520187,0.000246571955460576,0.0004044943820224719,0.0004047619047619048
8,159.07621192758617,173.81291084656905,140.3903468930533,142.0166877492957,0.4778654544249245,0.4971205730439717,0.018668004764506946,-0.038625596543340565,-0.13023906245732259,-0.017913552284652266,-0.001217187499601147,-0.00019056970515587447,0.00040373831775700935,0.0004042553191489362
9,168.85156473105098,192.29308269947302,152.76633934771291,166.08515573501532,0.46754552762279045,0.4791143893117912,-0.08704819049439148,-0.11692475531060019,-0.21728725295171408,-0.13483830759525245,-0.0018894543734931674,-0.001284174358050023,0.00040347826086956524,0.00040380952380952384
10,170.85156473105098,194.67165495895784,169.00880370279793,176.6603986074639,0.4674164472395104,0.48893220041946617,-0.0037857225948484154,0.0566722148263641,-0.2210729755465625,-0.07816609276888835,-0.0018895126115090826,-0.0006917353342379495,0.00040341880341880344,0.00040353982300884956
