Interval,EMA_success_rate,RSI_success_rate,EMA_alpha,EMA_beta,RSI_alpha,RSI_beta,EMA_posterior,RSI_posterior
0,0.6666666666666666,0.5714285714285714,11,6,5,4,0.6470588235294118,0.5555555555555556
1,0.5384615384615384,0.5555555555555556,18,12,10,8,0.6,0.5555555555555556
2,0.7692307692307693,0.75,28,15,19,11,0.6511627906976745,0.6333333333333333
3,0.0,0.42857142857142855,28,15,22,15,0.6511627906976745,0.5945945945945946
4,0.25,0.42857142857142855,31,24,25,19,0.5636363636363636,0.5681818181818182
5,0.4,0.3333333333333333,37,33,29,27,0.5285714285714286,0.5178571428571429
6,0.3888888888888889,0.5,44,44,34,32,0.5,0.5151515151515151
7,0.45,0.4444444444444444,53,55,38,37,0.49074074074074076,0.5066666666666667
8,0.6666666666666666,0.75,59,58,44,39,0.5042735042735043,0.5301204819277109
9,0.5,0.5454545454545454,66,65,50,44,0.5038167938931297,0.5319148936170213
10,0.0,0.375,66,65,53,49,0.5038167938931297,0.5196078431372549
11,0.5,0.3,69,68,56,56,0.5036496350364964,0.5
12,0.5,0.5454545454545454,74,73,62,61,0.5034013605442177,0.5040650406504065
13,0.0,0.2727272727272727,74,75,65,69,0.4966442953020134,0.48507462686567165
14,0.5714285714285714,0.6,82,81,71,73,0.5030674846625767,0.4930555555555556
15,0.42857142857142855,0.5555555555555556,88,89,76,77,0.4971751412429379,0.49673202614379086
16,0.4,0.5,96,101,80,81,0.4873096446700508,0.4968944099378882
17,0.3333333333333333,0.5,99,107,86,87,0.48058252427184467,0.49710982658959535
18,0.4444444444444444,0.6666666666666666,107,117,94,91,0.47767857142857145,0.5081081081081081
19,0.6,0.375,119,125,97,96,0.48770491803278687,0.5025906735751295
20,0.5555555555555556,0.5,124,129,102,101,0.4901185770750988,0.5024630541871922
21,0.35,0.5,131,142,106,105,0.47985347985347987,0.5023696682464455
22,0.5,0.2,132,143,108,113,0.48,0.48868778280542985
23,0.4444444444444444,0.625,136,148,113,116,0.4788732394366197,0.49344978165938863
24,0.65,0.8888888888888888,149,155,121,117,0.4901315789473684,0.5084033613445378
25,0.6666666666666666,0.6,151,156,127,121,0.49185667752442996,0.5120967741935484
26,0.125,0.3333333333333333,152,163,131,129,0.48253968253968255,0.5038461538461538
27,0.47368421052631576,0.5714285714285714,161,173,135,132,0.4820359281437126,0.5056179775280899
28,0.4,0.5,169,185,140,137,0.4774011299435028,0.5054151624548736
29,0.4166666666666667,0.4,174,192,144,143,0.47540983606557374,0.5017421602787456
30,0.6153846153846154,0.5555555555555556,182,197,149,147,0.48021108179419525,0.5033783783783784
31,1.0,0.375,183,197,152,152,0.48157894736842105,0.5
32,0.6842105263157895,0.42857142857142855,196,203,155,156,0.49122807017543857,0.4983922829581994
33,0.45,0.45454545454545453,205,214,160,162,0.4892601431980907,0.4968944099378882
34,0.0,0.375,205,214,163,167,0.4892601431980907,0.49393939393939396
35,0.7142857142857143,0.625,210,216,168,170,0.49295774647887325,0.4970414201183432
36,0.75,0.9,225,221,177,171,0.5044843049327354,0.5086206896551724
37,0.3333333333333333,0.2727272727272727,229,229,180,179,0.5,0.5013927576601671
